WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQH3,board=universal8895,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:51:29:bd,Mishpaha,[WPA2-PSK-CCMP][ESS],2017-11-07 21:25:27,1,-89,32.10220461287874,35.16785539260406,561.2850293555831,6,WIFI
00:e0:20:5b:f0:1d,IrynaR,[WPA2-PSK-CCMP][WPS][ESS][BLE],2017-11-07 21:25:27,6,-76,32.10220461287874,35.16785539260406,561.2850293555831,6,WIFI
00:e0:20:5e:1c:31,Olga's home,[WPA2-PSK-CCMP][WPS][ESS][BLE],2017-11-07 21:25:27,1,-83,32.10220461287874,35.16785539260406,561.2850293555831,6,WIFI
3c:08:f6:23:d5:00,Primarch 1,[WPA2-PSK-CCMP][WPS][ESS],2017-11-07 21:25:27,1,-91,32.10220461287874,35.16785539260406,561.2850293555831,6,WIFI
74:da:38:81:6a:33,BEZEQINT-4E59_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-11-07 21:25:27,6,-88,32.10220461287874,35.16785539260406,561.2850293555831,6,WIFI
74:da:3c:81:6a:34,BEZEQINT-4E59,[WPA2-PSK-CCMP][ESS],2017-11-07 21:25:27,6,-88,32.10220461287874,35.16785539260406,561.2850293555831,6,WIFI
42502_22811_5370153,GOLAN T,HSUPA;il,2017-11-07 21:25:27,0,-95,32.10220461287874,35.16785539260406,561.2850293555831,6,GSM
70:62:b8:32:46:ad,matan70_2.4,[WPA2-PSK-CCMP][ESS][BLE],2017-11-07 21:25:30,1,-94,32.10220098430811,35.16785932233361,561.2901837847204,6,WIFI
1c:af:f7:7d:fb:39,Bezeq,[ESS],2017-11-07 21:25:30,6,-85,32.10220098430811,35.16785932233361,561.2901837847204,6,WIFI
14:ae:db:51:29:bd,Mishpaha,[WPA2-PSK-CCMP][ESS],2017-11-07 21:25:33,1,-80,32.10220039223814,35.16785966146265,561.2943568378785,6,WIFI
42502_22811_5370153,GOLAN T,HSUPA;il,2017-11-07 21:25:33,0,-83,32.10220039223814,35.16785966146265,561.2943568378785,6,GSM
42502_22811_5370153,GOLAN T,HSUPA;il,2017-11-07 21:25:45,0,-71,32.10220462475999,35.1678547356095,561.5075288872883,4,GSM
14:ae:db:a2:3e:0d,I don't understand,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-07 21:25:48,6,-92,32.10220507961034,35.16785519998589,561.5383485122159,4,WIFI
e4:6f:13:70:48:50,halla5,[WPA2-PSK-CCMP][ESS][BLE],2017-11-07 21:25:48,10,-94,32.10220507961034,35.16785519998589,561.5383485122159,4,WIFI
b4:ee:b4:fe:3c:7e,Alexv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],2017-11-07 21:26:06,1,-93,32.10220713850113,35.16785487091275,561.726015412934,4,WIFI
10:be:f5:39:f1:5e,Shmul,[WPA2-PSK-CCMP][ESS][BLE],2017-11-07 21:26:27,9,-93,32.10220477784042,35.16785550077881,561.8171729463345,4,WIFI
42502_22811_5370153,GOLAN T,HSUPA;il,2017-11-07 21:26:42,0,-65,32.10221699659989,35.16786283385627,562.4290104208877,4,GSM
